t,target_x,target_y,target_h_deg,x,y,h_deg
304.633,,,,-0.0001,0.0001,0.03
304.684,,,,-0.0001,0.0001,0.03
304.735,,,,-0.0001,0.0001,0.03
304.785,,,,-0.0001,0.0001,0.03
304.836,,,,-0.0001,0.0001,0.03
304.887,,,,-0.0001,0.0001,0.03
304.937,,,,-0.0001,0.0001,0.03
304.987,,,,-0.0001,0.0001,0.03
305.038,,,,-0.0001,0.0001,0.03
305.088,,,,-0.0001,0.0001,0.03
305.139,,,,-0.0001,0.0001,0.03
305.189,,,,-0.0001,0.0001,0.03
305.24,,,,-0.0001,0.0001,0.03
305.291,,,,-0.0001,0.0001,0.03
305.341,,,,-0.0001,0.0001,0.03
305.391,,,,-0.0001,0.0001,0.03
305.442,,,,-0.0001,0.0001,0.03
305.493,,,,-0.0001,0.0001,0.03
305.544,,,,-0.0001,0.0001,0.03
305.594,,,,-0.0001,0.0001,0.03
305.645,,,,-0.0001,0.0001,0.03
305.695,,,,-0.0001,0.0001,0.03
305.746,,,,-0.0002,0.0002,0.04
305.796,,,,-0.0002,0.0002,0.04
305.847,,,,-0.0002,0.0002,0.04
305.899,,,,-0.0002,0.0002,0.04
305.95,,,,-0.0002,0.0002,0.04
306.001,,,,-0.0002,0.0002,0.04
306.051,,,,-0.0002,0.0002,0.04
306.102,,,,-0.0002,0.0002,0.04
306.152,,,,-0.0002,0.0002,0.04
306.203,,,,-0.0002,0.0002,0.04
306.254,,,,-0.0002,0.0002,0.04
306.304,,,,-0.0002,0.0002,0.04
306.355,,,,-0.0002,0.0002,0.04
306.405,,,,-0.0002,0.0002,0.04
306.456,,,,-0.0002,0.0002,0.04
306.507,,,,-0.0002,0.0002,0.04
306.557,,,,-0.0002,0.0002,0.04
306.608,,,,-0.0002,0.0002,0.04
306.659,,,,-0.0002,0.0002,0.04
306.71,,,,-0.0002,0.0002,0.04
306.76,,,,-0.0002,0.0002,0.04
306.811,,,,-0.0002,0.0002,0.04
306.862,,,,-0.0002,0.0002,0.04
306.913,,,,-0.0002,0.0002,0.04
306.964,,,,-0.0002,0.0002,0.04
307.014,,,,-0.0002,0.0002,0.04
307.065,,,,-0.0002,0.0002,0.04
307.116,,,,-0.0002,0.0002,0.05
307.166,,,,-0.0002,0.0002,0.05
307.217,,,,-0.0002,0.0002,0.05
307.268,,,,-0.0002,0.0002,0.05
307.318,,,,-0.0002,0.0002,0.05
307.368,,,,-0.0002,0.0002,0.05
307.419,,,,-0.0002,0.0002,0.05
307.47,,,,-0.0002,0.0002,0.05
307.52,,,,-0.0002,0.0002,0.05
307.571,,,,-0.0002,0.0002,0.05
307.622,,,,-0.0002,0.0002,0.05
307.673,,,,-0.0002,0.0002,0.05
307.723,,,,-0.0002,0.0002,0.05
307.774,,,,-0.0002,0.0002,0.05
307.824,,,,-0.0002,0.0002,0.05
307.875,,,,-0.0002,0.0002,0.05
307.925,,,,-0.0002,0.0002,0.05
307.976,,,,-0.0002,0.0002,0.05
308.026,,,,-0.0002,0.0002,0.05
308.077,,,,-0.0002,0.0002,0.05
308.127,,,,-0.0002,0.0002,0.05
308.178,,,,-0.0002,0.0002,0.05
308.229,,,,-0.0002,0.0002,0.05
308.279,,,,-0.0002,0.0002,0.05
308.329,,,,-0.0002,0.0002,0.05
308.38,,,,-0.0002,0.0002,0.05
308.431,,,,-0.0002,0.0002,0.05
308.482,,,,-0.0002,0.0002,0.05
308.532,,,,-0.0002,0.0002,0.05
308.583,,,,-0.0002,0.0002,0.05
308.633,,,,-0.0002,0.0002,0.05
308.684,,,,-0.0002,0.0002,0.05
308.734,,,,-0.0002,0.0002,0.05
308.785,,,,-0.0002,0.0002,0.05
308.836,,,,-0.0002,0.0002,0.05
308.887,,,,-0.0002,0.0002,0.05
308.937,,,,-0.0002,0.0002,0.05
308.988,,,,-0.0002,0.0002,0.05
309.038,,,,-0.0002,0.0002,0.04
309.089,,,,-0.0002,0.0002,0.04
309.139,,,,-0.0002,0.0002,0.04
309.19,,,,-0.0002,0.0002,0.05
309.24,,,,-0.0002,0.0002,0.05
309.291,,,,-0.0002,0.0002,0.05
309.342,,,,-0.0002,0.0002,0.05
309.393,,,,-0.0002,0.0002,0.05
309.444,,,,-0.0002,0.0002,0.05
309.495,,,,-0.0002,0.0002,0.05
309.545,,,,-0.0002,0.0002,0.05
309.596,,,,-0.0002,0.0002,0.05
309.646,,,,-0.0002,0.0002,0.05
309.697,,,,-0.0002,0.0002,0.05
309.748,,,,-0.0002,0.0002,0.05
309.798,,,,-0.0002,0.0002,0.05
309.849,,,,-0.0002,0.0002,0.05
309.899,,,,-0.0002,0.0002,0.05
309.98,,,,-0.0002,0.0002,0.05
310.031,,,,-0.0002,0.0002,0.05
310.082,,,,-0.0002,0.0002,0.05
310.132,,,,-0.0002,0.0002,0.05
310.183,,,,-0.0002,0.0002,0.05
310.233,,,,-0.0002,0.0002,0.05
310.284,,,,-0.0002,0.0002,0.05
310.335,,,,-0.0002,0.0002,0.05
310.385,,,,-0.0002,0.0002,0.05
310.435,,,,-0.0002,0.0002,0.05
310.486,,,,-0.0002,0.0002,0.05
310.537,,,,-0.0002,0.0002,0.05
310.587,,,,-0.0002,0.0002,0.05
310.638,,,,-0.0002,0.0002,0.05
310.689,,,,-0.0002,0.0002,0.05
310.739,,,,-0.0002,0.0002,0.05
310.79,,,,-0.0002,0.0002,0.06
310.84,,,,-0.0002,0.0002,0.06
310.891,,,,-0.0002,0.0002,0.06
310.942,,,,-0.0002,0.0002,0.06
310.993,,,,-0.0002,0.0002,0.06
311.043,,,,-0.0002,0.0002,0.06
311.094,,,,-0.0002,0.0002,0.06
311.144,,,,-0.0002,0.0002,0.06
311.194,,,,-0.0002,0.0002,0.06
311.245,,,,-0.0002,0.0002,0.06
311.296,,,,-0.0002,0.0002,0.06
311.353,,,,-0.0002,0.0002,0.06
311.404,,,,-0.0002,0.0002,0.06
311.454,,,,-0.0002,0.0002,0.06
311.505,,,,-0.0002,0.0002,0.06
311.555,,,,-0.0002,0.0002,0.06
311.606,,,,-0.0002,0.0002,0.06
311.657,,,,-0.0002,0.0002,0.06
311.707,,,,-0.0002,0.0002,0.06
311.758,,,,-0.0002,0.0002,0.06
311.809,,,,-0.0002,0.0002,0.06
311.859,,,,-0.0002,0.0002,0.06
311.91,,,,-0.0002,0.0002,0.06
311.96,,,,-0.0002,0.0002,0.06
312.011,,,,-0.0002,0.0002,0.06
312.061,,,,-0.0003,0.0003,0.07
312.112,,,,-0.0003,0.0003,0.07
312.162,,,,-0.0003,0.0003,0.07
